day,count
2024-01-03,1
2024-01-04,7187
2024-01-05,10
2024-01-06,19
2024-01-08,35
2024-01-09,5
2024-01-10,226
2024-01-11,4603
2024-01-12,14114
2024-01-13,17
2024-01-14,6204
2024-01-15,4228
2024-01-16,4
2024-01-17,29
2024-01-18,758
2024-01-19,49
2024-01-20,753
2024-01-21,9734
2024-01-22,6589
2024-01-23,2
2024-01-24,24
2024-01-25,349
2024-01-26,357
2024-01-27,361
2024-01-28,320
2024-01-29,2251
2024-01-30,15
2024-01-31,21
2024-02-01,605
2024-02-02,10887
2024-02-03,699
2024-02-04,476
2024-02-05,19069
2024-02-06,1182
2024-02-07,7
2024-02-08,5993
2024-02-09,24
2024-02-10,12291
2024-02-11,3037
2024-02-12,288
2024-02-13,2609
2024-02-14,31
2024-02-15,220
2024-02-16,5947
2024-02-17,2441
2024-02-18,338
2024-02-19,264
2024-02-20,14
2024-02-21,12
2024-02-22,455
2024-02-23,1916
2024-02-24,213
2024-02-25,17
2024-02-26,7
2024-02-27,325
2024-02-28,1815
2024-02-29,582
2024-03-01,2821756
2024-03-02,504
2024-03-03,5
2024-03-04,676
2024-03-05,591
2024-03-06,6157
2024-03-07,6313
2024-03-08,5993
2024-03-09,4861
2024-03-10,4
2024-03-11,4
2024-03-12,671
2024-03-13,350
2024-03-14,40818
2024-03-15,3210
2024-03-16,237
2024-03-18,13
2024-03-19,252
2024-03-20,429
2024-03-21,321
2024-03-22,752
2024-03-23,198
2024-03-25,13
2024-03-26,275
2024-03-27,1164
2024-03-28,657
2024-03-29,161
2024-03-30,21
2024-04-02,332
2024-04-03,901
2024-04-04,428
2024-04-05,548
2024-04-06,235
2024-04-07,1
2024-04-08,839
2024-04-09,10747
2024-04-11,12541
2024-04-12,7268
2024-04-13,5978
2024-04-14,5360
2024-04-15,16
2024-04-16,3893
2024-04-17,303
2024-04-18,363
2024-04-19,325
2024-04-20,313
2024-04-22,66
2024-04-23,241
2024-04-24,353
2024-04-25,345
2024-04-26,410
2024-04-27,295
2024-04-28,8
2024-04-29,15627
2024-04-30,944
2024-05-01,615
2024-05-02,686
2024-05-03,858
2024-05-04,737
2024-05-05,36
2024-05-06,18
2024-05-07,5846
2024-05-08,6364
2024-05-09,5253
2024-05-10,127
2024-05-11,207
2024-05-13,3
2024-05-14,279
2024-05-15,356
2024-05-16,222
2024-05-17,980167
2024-05-18,220
2024-05-19,38
2024-05-20,1184
2024-05-21,8
2024-05-22,372
2024-05-23,440
2024-05-24,258
2024-05-25,250
2024-05-26,763
2024-05-28,313
2024-05-29,397
2024-05-30,419
2024-05-31,6994
2024-06-01,270
2024-06-02,154
2024-06-03,592
2024-06-04,1024
2024-06-05,645
2024-06-06,393
2024-06-07,6549
2024-06-08,393
2024-06-09,177
2024-06-10,12
2024-06-11,6296
2024-06-12,6160
2024-06-13,6161
2024-06-14,5964
2024-06-15,487
2024-06-16,30
2024-06-17,23
2024-06-18,4191
2024-06-19,411
2024-06-20,292
2024-06-21,792
2024-06-22,49
2024-06-23,250
2024-06-24,3
2024-06-25,286
2024-06-26,482
2024-06-27,46
2024-06-28,776
2024-06-29,269
2024-06-30,62
2024-07-01,18
2024-07-02,1637
2024-07-03,1086
2024-07-04,7107
2024-07-05,55
2024-07-06,476
2024-07-08,2
2024-07-09,7429
2024-07-10,5950
2024-07-11,6209
2024-07-12,6857
2024-07-13,6280
2024-07-14,5995
2024-07-15,6080
2024-07-16,6423
2024-07-17,6293
2024-07-18,6276
2024-07-19,6247
2024-07-20,6382
2024-07-21,6010
2024-07-22,6003
2024-07-23,6179
2024-07-24,6334
2024-07-25,6320
2024-07-26,3889
2024-07-27,176
2024-07-28,2
2024-07-29,3
2024-07-30,288
2024-07-31,469
2024-08-01,289
2024-08-02,617
2024-08-03,4177
2024-08-04,24
2024-08-05,8
2024-08-06,6307
2024-08-07,6411
2024-08-08,6366
2024-08-09,3098
2024-08-10,9289
2024-08-11,6006
2024-08-12,6257
2024-08-13,6142
2024-08-14,6504
2024-08-15,6600
2024-08-17,10845
2024-08-18,3
2024-08-19,14
2024-08-20,1986
2024-08-21,415
2024-08-22,425
2024-08-23,327
2024-08-24,214
2024-08-25,25
2024-08-26,10
2024-08-27,292
2024-08-28,529
2024-08-29,1663
2024-08-30,275
2024-08-31,443
2024-09-01,27
2024-09-02,252
2024-09-05,21161
2024-09-06,6184
2024-09-07,6363
2024-09-08,4262
2024-09-09,5
2024-09-10,260
2024-09-11,342
2024-09-12,580
2024-09-13,76
2024-09-14,2992
2024-09-15,1
2024-09-16,1
2024-09-17,905895
2024-09-18,193177
2024-09-19,326
2024-09-20,297
2024-09-21,342
2024-09-22,2
2024-09-23,2
2024-09-24,219
2024-09-25,72585
2024-09-26,521
2024-09-27,308
2024-09-28,230
2024-09-29,3
2024-09-30,37
2024-10-01,275
2024-10-02,1777
2024-10-03,4130
2024-10-04,5
2024-10-05,258
2024-10-06,10
2024-10-07,1
2024-10-08,61
2024-10-09,6110
2024-10-10,12698
2024-10-11,6319
2024-10-12,7315
2024-10-13,5963
2024-10-14,8587
2024-10-15,6088
2024-10-16,6341
2024-10-17,6399
2024-10-18,6373
2024-10-19,6317
2024-10-20,5958
2024-10-21,5947
2024-10-22,6236
2024-10-23,6240
2024-10-24,2125
2024-10-25,208
2024-10-26,349
2024-10-27,2
2024-10-29,2451
2024-10-30,424
2024-10-31,551
2024-11-01,39
2024-11-02,595
2024-11-03,691
2024-11-04,4
2024-11-05,7668
2024-11-06,6522
