day,count
2025-01-01,2
2025-01-02,10
2025-01-03,1619
2025-01-04,46
2025-01-06,3
2025-01-07,47
2025-01-08,23
2025-01-09,19374
2025-01-10,6811
2025-01-11,3416
2025-01-12,338
2025-01-13,42
2025-01-14,1166
2025-01-15,553
2025-01-16,461
2025-01-18,831
2025-01-19,21
2025-01-20,31
2025-01-21,368
2025-01-22,357
2025-01-23,405
2025-01-24,1297
2025-01-25,334
2025-01-26,8
2025-01-27,8
2025-01-28,6672
2025-01-29,455
2025-01-30,351
2025-01-31,292
2025-02-01,690
2025-02-02,313
2025-02-03,641
2025-02-04,7338
2025-02-05,9068
2025-02-06,6612
2025-02-07,6298
2025-02-08,6378
2025-02-09,6016
2025-02-10,5781
2025-02-11,6111
2025-02-12,6680
2025-02-13,2120
2025-02-14,427
2025-02-15,316
2025-02-16,12
2025-02-17,5
2025-02-18,339
2025-02-19,438
2025-02-20,411
2025-02-21,370
2025-02-22,223
2025-02-23,10
2025-02-24,10
2025-02-26,1141
2025-02-27,1935
2025-02-28,2557
2025-03-01,227
2025-03-02,65
2025-03-03,877
2025-03-04,8086
2025-03-05,6336
2025-03-06,6600
2025-03-07,6589
2025-03-08,6079
2025-03-09,5638
2025-03-10,1597
2025-03-11,365
2025-03-12,757
2025-03-13,334
2025-03-14,313
2025-03-15,30
2025-03-16,299
2025-03-17,12
2025-03-18,1267
2025-03-19,455
2025-03-20,23343
2025-03-21,246
2025-03-22,291
2025-03-23,12
2025-03-24,3
2025-03-25,315
2025-03-26,490
2025-03-27,273
2025-03-28,305
2025-03-29,13171
2025-03-30,11
2025-03-31,4
2025-04-01,311
2025-04-02,8
2025-04-03,3835
2025-04-04,453
2025-04-05,8972
2025-04-06,22
2025-04-08,30
2025-04-09,12113
2025-04-10,6312
2025-04-11,6305
2025-04-12,4677
2025-04-13,87
2025-04-14,14
2025-04-16,790
2025-04-17,308
2025-04-18,225
2025-04-19,2
2025-04-20,3
2025-04-22,3
2025-04-23,319
2025-04-24,5537
2025-04-25,496
2025-04-26,189
2025-04-27,8
2025-04-28,5
2025-04-29,538
2025-04-30,371
2025-05-01,538
2025-05-02,333
2025-05-03,1371
2025-05-04,991
2025-05-05,315032
2025-05-06,462
2025-05-07,4521
2025-05-08,6213
2025-05-09,5867
2025-05-10,4555
2025-05-11,2637
2025-05-12,16063532
2025-05-13,392
2025-05-14,583
2025-05-15,480
2025-05-16,404
2025-05-17,22
2025-05-18,288
2025-05-20,379
2025-05-21,457
2025-05-22,296
2025-05-23,379
2025-05-24,301
2025-05-25,21
2025-05-26,14
2025-05-27,270
2025-05-28,480
2025-05-29,301
2025-05-30,10
2025-05-31,165
2025-06-01,13
2025-06-02,282
2025-06-03,7510
2025-06-04,7505
2025-06-05,14972
2025-06-06,6290
2025-06-07,5928
2025-06-08,770
2025-06-10,1
2025-06-11,1294
2025-06-12,679
2025-06-13,298
2025-06-14,32
2025-06-15,288
2025-06-16,1
2025-06-17,239
2025-06-18,1827
2025-06-19,340
2025-06-20,269
2025-06-21,187
2025-06-23,8
2025-06-24,1763
2025-06-25,533
2025-06-26,258
2025-06-27,285
2025-06-28,846
2025-06-29,2198
2025-06-30,9
2025-07-01,1120
2025-07-02,1237
2025-07-03,959
2025-07-04,350
2025-07-05,644
2025-07-06,9
2025-07-07,2
2025-07-08,5978
2025-07-09,6323
2025-07-10,6215
2025-07-11,6140
2025-07-12,6275
2025-07-13,5932
2025-07-14,115
2025-07-15,7
2025-07-16,24
2025-07-17,952
2025-07-18,429
2025-07-19,227
2025-07-20,4
2025-07-21,2
2025-07-22,374
2025-07-23,18562136
2025-07-24,241
2025-07-25,219
2025-07-26,189
2025-07-28,3
2025-07-29,216
2025-07-30,467
2025-07-31,582
2025-08-01,258
2025-08-02,2042
2025-08-03,595
2025-08-04,10
2025-08-05,6040
2025-08-06,6252
2025-08-07,6143
2025-08-08,6073
2025-08-09,1565
2025-08-10,1
2025-08-11,7
2025-08-12,511
2025-08-13,445
2025-08-14,345
2025-08-15,297
2025-08-16,313
2025-08-17,20
2025-08-18,9
2025-08-19,30222
2025-08-20,338
2025-08-21,600
2025-08-22,1984
2025-08-23,324
2025-08-24,10
2025-08-25,6
2025-08-26,412
2025-08-27,2602
2025-08-28,298
2025-08-29,137
2025-08-30,281
2025-08-31,2
2025-09-01,2
2025-09-02,24
2025-09-03,51
2025-09-04,2459
2025-09-05,331
2025-09-06,16
2025-09-07,208
2025-09-08,1
2025-09-09,311
2025-09-10,283
2025-09-11,242
2025-09-12,462
2025-09-13,194
2025-09-14,24
2025-09-15,18
2025-09-16,6103
2025-09-17,6334
2025-09-18,6236
2025-09-19,5989
2025-09-20,5
2025-09-21,12056
2025-09-22,6001
2025-09-23,6349
2025-09-25,7689
2025-09-26,300
2025-09-27,264
2025-09-28,3
2025-09-29,3
2025-09-30,329
2025-10-01,32
2025-10-02,9
2025-10-03,1207
2025-10-07,9822
2025-10-08,6279
2025-10-09,6116
2025-10-10,6202
2025-10-11,6199
2025-10-12,6153
2025-10-13,4114
2025-10-14,22
2025-10-15,4494
2025-10-16,363
2025-10-17,332
2025-10-18,255
2025-10-19,19
2025-10-21,367
2025-10-22,630
2025-10-23,1479
2025-10-24,343
2025-10-25,44926
2025-10-26,7
2025-10-27,3
2025-10-28,400
2025-10-29,392
2025-10-30,307
2025-10-31,299
2025-11-01,38
2025-11-02,340
2025-11-03,644
2025-11-04,37354
2025-11-05,9612
2025-11-06,6118
2025-11-07,6351
2025-11-08,6172
2025-11-09,3136
2025-11-10,4
2025-11-11,384
2025-11-12,665
2025-11-13,323
2025-11-14,368
2025-11-15,255
2025-11-17,1
2025-11-18,329
2025-11-19,410
2025-11-20,43
2025-11-21,154
2025-11-22,4257
2025-11-23,10
2025-11-25,259
2025-11-26,411
2025-11-27,408
2025-11-28,299
2025-11-29,245
2025-11-30,19
2025-12-01,12
2025-12-02,1685
2025-12-03,573
2025-12-04,313
2025-12-05,384
2025-12-06,223
2025-12-07,3
2025-12-08,12
2025-12-09,325
2025-12-10,420
2025-12-11,6029
2025-12-12,6336
2025-12-15,17772
2025-12-16,6290
2025-12-17,6253
2025-12-18,2327
2025-12-19,323
2025-12-20,304
2025-12-21,39
2025-12-22,3
2025-12-23,134
2025-12-24,97
2025-12-26,5
2025-12-27,1
2025-12-28,1
2025-12-30,121
2025-12-31,1413
