Code,Beschreibung
B,Belegexemplar der SLUB
E,BenutzerErsatz
EP,Eigenproduktion
G,Geschenk
K,Kauf
KT,Kauftausch
LDP,Landesdigitalisierungsprogramm Sachsen
OA,Open Access
P,Pflicht
PK,Pflicht-Kauf
R,Retrokatalogisierung
RV,Restitutionsverfahren
T,Tausch
U,Umtausch
V,Umsetzung von TUD
X,Altdaten
Y,EFRE-Retro
